ds,subject,ses,task,n_num
ds000006,sub-12,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-13,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-13,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-14,test,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000006,sub-14,retest,livingnonlivingdecisionwithplainormirrorreversedtext,6
ds000007,sub-01,,stopword,2
ds000007,sub-01,,stopmanual,2
ds000007,sub-01,,stopvocal,2
ds000007,sub-02,,stopword,2
ds000007,sub-02,,stopvocal,2
ds000007,sub-02,,stopmanual,2
ds000007,sub-03,,stopmanual,2
ds000007,sub-03,,stopvocal,2
ds000007,sub-03,,stopword,2
ds000007,sub-04,,stopvocal,2
ds000007,sub-04,,stopmanual,2
ds000007,sub-04,,stopword,2
ds000007,sub-05,,stopmanual,2
ds000007,sub-05,,stopword,2
ds000007,sub-05,,stopvocal,2
ds000007,sub-06,,stopmanual,2
ds000007,sub-06,,stopvocal,2
ds000007,sub-06,,stopword,2
ds000007,sub-07,,stopmanual,2
ds000007,sub-07,,stopvocal,2
ds000007,sub-07,,stopword,2
ds000007,sub-08,,stopmanual,2
ds000007,sub-08,,stopvocal,2
ds000007,sub-08,,stopword,2
ds000007,sub-09,,stopmanual,2
ds000007,sub-09,,stopword,2
ds000007,sub-09,,stopvocal,2
ds000007,sub-10,,stopword,2
ds000007,sub-10,,stopvocal,2
ds000007,sub-10,,stopmanual,2
ds000007,sub-11,,stopmanual,2
ds000007,sub-11,,stopvocal,2
ds000007,sub-11,,stopword,2
ds000007,sub-12,,stopword,2
ds000007,sub-12,,stopmanual,2
ds000007,sub-12,,stopvocal,2
ds000007,sub-13,,stopvocal,2
ds000007,sub-13,,stopmanual,2
ds000007,sub-13,,stopword,2
ds000007,sub-14,,stopword,2
ds000007,sub-14,,stopvocal,2
ds000007,sub-14,,stopmanual,2
ds000007,sub-15,,stopmanual,2
ds000007,sub-15,,stopvocal,2
ds000007,sub-15,,stopword,2
ds000007,sub-16,,stopmanual,2
ds000007,sub-16,,stopvocal,2
ds000007,sub-16,,stopword,2
ds000007,sub-17,,stopvocal,2
ds000007,sub-17,,stopword,2
ds000007,sub-17,,stopmanual,2
ds000007,sub-18,,stopword,2
ds000007,sub-18,,stopvocal,2
ds000007,sub-18,,stopmanual,2
ds000007,sub-19,,stopvocal,2
ds000007,sub-19,,stopmanual,2
ds000007,sub-19,,stopword,2
ds000007,sub-20,,stopmanual,2
ds000007,sub-20,,stopword,2
ds000007,sub-20,,stopvocal,2
ds000008,sub-01,,stopsignal,3
ds000008,sub-01,,conditionalstopsignal,3
ds000008,sub-02,,stopsignal,3
ds000008,sub-02,,conditionalstopsignal,2
ds000008,sub-03,,stopsignal,3
ds000008,sub-03,,conditionalstopsignal,3
ds000008,sub-04,,conditionalstopsignal,3
ds000008,sub-04,,stopsignal,3
ds000008,sub-05,,stopsignal,3
ds000008,sub-05,,conditionalstopsignal,3
ds000008,sub-06,,stopsignal,3
ds000008,sub-06,,conditionalstopsignal,3
ds000008,sub-07,,stopsignal,3
ds000008,sub-07,,conditionalstopsignal,3
ds000008,sub-09,,stopsignal,3
ds000008,sub-10,,conditionalstopsignal,3
ds000008,sub-10,,stopsignal,3
ds000008,sub-11,,conditionalstopsignal,3
ds000008,sub-11,,stopsignal,3
ds000008,sub-12,,conditionalstopsignal,3
ds000008,sub-12,,stopsignal,3
ds000008,sub-13,,conditionalstopsignal,3
ds000008,sub-13,,stopsignal,3
ds000008,sub-14,,conditionalstopsignal,3
ds000008,sub-14,,stopsignal,3
ds000008,sub-15,,stopsignal,3
ds000008,sub-15,,conditionalstopsignal,3
ds000009,sub-01,,balloonanalogrisktask,1
ds000009,sub-01,,emotionalregulation,2
ds000009,sub-01,,stopsignal,2
ds000009,sub-01,,discounting,1
ds000009,sub-02,,stopsignal,2
ds000009,sub-02,,emotionalregulation,2
ds000009,sub-02,,discounting,1
ds000009,sub-02,,balloonanalogrisktask,1
ds000009,sub-03,,balloonanalogrisktask,1
ds000009,sub-03,,discounting,1
ds000009,sub-03,,stopsignal,2
ds000009,sub-03,,emotionalregulation,2
ds000009,sub-04,,emotionalregulation,2
ds000009,sub-04,,stopsignal,2
ds000009,sub-04,,balloonanalogrisktask,1
ds000009,sub-04,,discounting,1
ds000009,sub-05,,emotionalregulation,2
ds000009,sub-05,,stopsignal,2
ds000009,sub-05,,balloonanalogrisktask,1
ds000009,sub-05,,discounting,1
ds000009,sub-06,,emotionalregulation,2
ds000009,sub-06,,discounting,1
ds000009,sub-06,,stopsignal,2
ds000009,sub-06,,balloonanalogrisktask,1
ds000009,sub-07,,stopsignal,2
ds000009,sub-07,,emotionalregulation,2
ds000009,sub-07,,balloonanalogrisktask,1
ds000009,sub-07,,discounting,1
ds000009,sub-09,,balloonanalogrisktask,1
ds000009,sub-09,,emotionalregulation,2
ds000009,sub-09,,discounting,1
ds000009,sub-09,,stopsignal,2
ds000009,sub-10,,balloonanalogrisktask,1
ds000009,sub-10,,emotionalregulation,2
ds000009,sub-10,,stopsignal,2
ds000009,sub-10,,discounting,1
ds000009,sub-11,,emotionalregulation,2
ds000009,sub-11,,stopsignal,2
ds000009,sub-11,,balloonanalogrisktask,1
ds000009,sub-11,,discounting,1
ds000009,sub-12,,emotionalregulation,2
ds000009,sub-12,,balloonanalogrisktask,1
ds000009,sub-12,,stopsignal,2
ds000009,sub-12,,discounting,1
ds000009,sub-13,,stopsignal,2
ds000009,sub-13,,emotionalregulation,2
ds000009,sub-13,,balloonanalogrisktask,1
ds000009,sub-13,,discounting,1
ds000009,sub-14,,balloonanalogrisktask,1
ds000009,sub-14,,emotionalregulation,2
ds000009,sub-14,,stopsignal,2
ds000009,sub-14,,discounting,1
ds000009,sub-16,,stopsignal,2
ds000009,sub-16,,emotionalregulation,2
ds000009,sub-16,,balloonanalogrisktask,1
ds000009,sub-16,,discounting,1
ds000009,sub-17,,emotionalregulation,2
ds000009,sub-17,,balloonanalogrisktask,1
ds000009,sub-17,,discounting,1
ds000009,sub-17,,stopsignal,2
ds000009,sub-18,,emotionalregulation,2
ds000009,sub-18,,discounting,1
ds000009,sub-18,,stopsignal,2
ds000009,sub-18,,balloonanalogrisktask,1
ds000009,sub-20,,discounting,1
ds000009,sub-20,,stopsignal,2
ds000009,sub-20,,emotionalregulation,2
ds000009,sub-20,,balloonanalogrisktask,1
ds000009,sub-21,,balloonanalogrisktask,1
ds000009,sub-21,,emotionalregulation,2
ds000009,sub-21,,discounting,1
ds000009,sub-21,,stopsignal,2
ds000009,sub-23,,stopsignal,2
ds000009,sub-23,,emotionalregulation,2
ds000009,sub-23,,discounting,1
ds000009,sub-23,,balloonanalogrisktask,1
ds000009,sub-24,,emotionalregulation,2
ds000009,sub-24,,stopsignal,2
ds000009,sub-24,,discounting,1
ds000009,sub-24,,balloonanalogrisktask,1
ds000009,sub-25,,balloonanalogrisktask,1
ds000009,sub-25,,stopsignal,2
ds000009,sub-25,,emotionalregulation,2
ds000009,sub-25,,discounting,1
ds000009,sub-26,,stopsignal,2
ds000009,sub-26,,discounting,1
ds000009,sub-26,,balloonanalogrisktask,1
ds000009,sub-26,,emotionalregulation,2
ds000009,sub-28,,discounting,1
ds000009,sub-28,,emotionalregulation,2
ds000009,sub-28,,stopsignal,2
ds000009,sub-28,,balloonanalogrisktask,1
ds000009,sub-29,,discounting,1
ds000009,sub-29,,emotionalregulation,2
ds000009,sub-29,,stopsignal,2
ds000009,sub-29,,balloonanalogrisktask,1
ds000011,sub-01,,Singletaskweatherprediction,2
ds000011,sub-01,,Classificationprobewithoutfeedback,1
ds000011,sub-01,,Dualtaskweatherprediction,2
ds000011,sub-01,,tonecounting,1
ds000011,sub-02,,tonecounting,1
ds000011,sub-02,,Dualtaskweatherprediction,2
ds000011,sub-02,,Classificationprobewithoutfeedback,1
ds000011,sub-02,,Singletaskweatherprediction,2
ds000011,sub-03,,Singletaskweatherprediction,2
ds000011,sub-03,,tonecounting,1
ds000011,sub-03,,Dualtaskweatherprediction,2
ds000011,sub-03,,Classificationprobewithoutfeedback,1
ds000011,sub-04,,tonecounting,1
ds000011,sub-04,,Singletaskweatherprediction,2
ds000011,sub-04,,Dualtaskweatherprediction,2
ds000011,sub-04,,Classificationprobewithoutfeedback,1
ds000011,sub-05,,Dualtaskweatherprediction,2
ds000011,sub-05,,Classificationprobewithoutfeedback,1
ds000011,sub-05,,Singletaskweatherprediction,2
ds000011,sub-05,,tonecounting,1
ds000011,sub-06,,Classificationprobewithoutfeedback,1
ds000011,sub-06,,Singletaskweatherprediction,2
ds000011,sub-06,,Dualtaskweatherprediction,2
ds000011,sub-06,,tonecounting,1
ds000011,sub-07,,Singletaskweatherprediction,2
ds000011,sub-07,,Classificationprobewithoutfeedback,1
ds000011,sub-07,,Dualtaskweatherprediction,2
ds000011,sub-07,,tonecounting,1
ds000011,sub-08,,Dualtaskweatherprediction,2
ds000011,sub-08,,Singletaskweatherprediction,2
ds000011,sub-08,,Classificationprobewithoutfeedback,1
ds000011,sub-08,,tonecounting,1
ds000011,sub-09,,Dualtaskweatherprediction,2
ds000011,sub-09,,Singletaskweatherprediction,2
ds000011,sub-09,,tonecounting,1
ds000011,sub-09,,Classificationprobewithoutfeedback,1
ds000011,sub-10,,Dualtaskweatherprediction,2
ds000011,sub-10,,Classificationprobewithoutfeedback,1
ds000011,sub-10,,Singletaskweatherprediction,2
ds000011,sub-10,,tonecounting,1
ds000011,sub-11,,Dualtaskweatherprediction,2
ds000011,sub-11,,tonecounting,1
ds000011,sub-11,,Classificationprobewithoutfeedback,1
ds000011,sub-11,,Singletaskweatherprediction,2
ds000011,sub-12,,tonecounting,1
ds000011,sub-12,,Classificationprobewithoutfeedback,1
ds000011,sub-12,,Singletaskweatherprediction,2
ds000011,sub-12,,Dualtaskweatherprediction,2
ds000011,sub-13,,Dualtaskweatherprediction,2
ds000011,sub-13,,Singletaskweatherprediction,2
ds000011,sub-13,,tonecounting,1
ds000011,sub-13,,Classificationprobewithoutfeedback,1
ds000011,sub-14,,tonecounting,1
ds000011,sub-14,,Dualtaskweatherprediction,2
ds000011,sub-14,,Classificationprobewithoutfeedback,1
ds000011,sub-14,,Singletaskweatherprediction,2
ds000017,sub-1,timepoint2,selectivestopsignaltask,3
ds000017,sub-1,timepoint2,probabilisticclassification,2
ds000017,sub-1,timepoint1,selectivestopsignaltask,3
ds000017,sub-1,timepoint1,probabilisticclassification,2
ds000017,sub-2,timepoint2,selectivestopsignaltask,3
ds000017,sub-2,timepoint2,probabilisticclassification,2
ds000017,sub-2,timepoint1,probabilisticclassification,2
ds000017,sub-2,timepoint1,selectivestopsignaltask,3
ds000017,sub-3,timepoint2,probabilisticclassification,2
ds000017,sub-3,timepoint2,selectivestopsignaltask,2
ds000017,sub-3,timepoint1,probabilisticclassification,2
ds000017,sub-3,timepoint1,selectivestopsignaltask,3
ds000017,sub-4,timepoint2,probabilisticclassification,2
ds000017,sub-4,timepoint2,selectivestopsignaltask,3
ds000017,sub-4,timepoint1,selectivestopsignaltask,3
ds000017,sub-4,timepoint1,probabilisticclassification,2
ds000017,sub-5,timepoint2,probabilisticclassification,2
ds000017,sub-5,timepoint2,selectivestopsignaltask,2
ds000017,sub-5,timepoint1,probabilisticclassification,2
ds000017,sub-5,timepoint1,selectivestopsignaltask,3
ds000017,sub-6,timepoint2,selectivestopsignaltask,2
ds000017,sub-6,timepoint1,selectivestopsignaltask,3
ds000017,sub-6,timepoint1,probabilisticclassification,2
ds000017,sub-7,timepoint2,selectivestopsignaltask,3
ds000017,sub-7,timepoint2,probabilisticclassification,2
ds000017,sub-7,timepoint1,selectivestopsignaltask,3
ds000017,sub-7,timepoint1,probabilisticclassification,2
ds000017,sub-8,timepoint2,probabilisticclassification,2
ds000017,sub-8,timepoint2,selectivestopsignaltask,2
ds000017,sub-8,timepoint1,selectivestopsignaltask,3
ds000017,sub-8,timepoint1,probabilisticclassification,2
ds000030,sub-10159,,scap,1
ds000030,sub-10159,,taskswitch,1
ds000030,sub-10159,,stopsignal,1
ds000030,sub-10159,,bart,1
ds000030,sub-10159,,rest,1
ds000030,sub-10171,,taskswitch,1
ds000030,sub-10171,,bart,1
ds000030,sub-10171,,bht,1
ds000030,sub-10171,,stopsignal,1
ds000030,sub-10171,,rest,1
ds000030,sub-10171,,scap,1
ds000030,sub-10189,,rest,1
ds000030,sub-10189,,scap,1
ds000030,sub-10189,,stopsignal,1
ds000030,sub-10189,,bart,1
ds000030,sub-10189,,taskswitch,1
ds000030,sub-10193,,bart,1
ds000030,sub-10206,,scap,1
ds000030,sub-10206,,taskswitch,1
ds000030,sub-10206,,bart,1
ds000030,sub-10206,,rest,1
ds000030,sub-10206,,stopsignal,1
ds000030,sub-10217,,stopsignal,1
ds000030,sub-10217,,taskswitch,1
ds000030,sub-10217,,rest,1
ds000030,sub-10217,,scap,1
ds000030,sub-10217,,bart,1
ds000030,sub-10225,,stopsignal,1
ds000030,sub-10225,,rest,1
ds000030,sub-10225,,taskswitch,1
ds000030,sub-10225,,scap,1
ds000030,sub-10225,,bht,1
ds000030,sub-10225,,bart,1
ds000030,sub-10227,,bart,1
ds000030,sub-10227,,taskswitch,1
ds000030,sub-10227,,rest,1
ds000030,sub-10227,,stopsignal,1
ds000030,sub-10227,,scap,1
ds000030,sub-10228,,bht,1
ds000030,sub-10228,,bart,1
ds000030,sub-10228,,rest,1
ds000030,sub-10228,,stopsignal,1
ds000030,sub-10228,,scap,1
ds000030,sub-10228,,taskswitch,1
ds000030,sub-10235,,taskswitch,1
ds000030,sub-10235,,stopsignal,1
ds000030,sub-10235,,bart,1
ds000030,sub-10235,,rest,1
ds000030,sub-10235,,scap,1
ds000030,sub-10249,,bht,1
ds000030,sub-10249,,bart,1
ds000030,sub-10249,,taskswitch,1
ds000030,sub-10249,,rest,1
ds000030,sub-10249,,stopsignal,1
ds000030,sub-10249,,scap,1
ds000030,sub-10269,,stopsignal,1
ds000030,sub-10269,,rest,1
ds000030,sub-10269,,taskswitch,1
ds000030,sub-10269,,scap,1
ds000030,sub-10269,,bart,1
ds000030,sub-10271,,taskswitch,1
ds000030,sub-10271,,rest,1
ds000030,sub-10271,,bart,1
ds000030,sub-10271,,scap,1
ds000030,sub-10271,,stopsignal,1
ds000030,sub-10271,,bht,1
ds000030,sub-10273,,rest,1
ds000030,sub-10273,,scap,1
ds000030,sub-10273,,bht,1
ds000030,sub-10273,,stopsignal,1
ds000030,sub-10273,,taskswitch,1
ds000030,sub-10273,,bart,1
ds000030,sub-10274,,taskswitch,1
ds000030,sub-10274,,bart,1
ds000030,sub-10274,,rest,1
ds000030,sub-10274,,stopsignal,1
ds000030,sub-10274,,scap,1
ds000030,sub-10280,,scap,1
ds000030,sub-10280,,taskswitch,1
ds000030,sub-10280,,stopsignal,1
ds000030,sub-10280,,bht,1
ds000030,sub-10280,,rest,1
ds000030,sub-10280,,bart,1
ds000030,sub-10290,,bart,1
ds000030,sub-10290,,bht,1
ds000030,sub-10290,,rest,1
ds000030,sub-10290,,stopsignal,1
ds000030,sub-10290,,taskswitch,1
ds000030,sub-10290,,scap,1
ds000030,sub-10292,,stopsignal,1
ds000030,sub-10292,,scap,1
ds000030,sub-10292,,bht,1
ds000030,sub-10292,,taskswitch,1
ds000030,sub-10292,,bart,1
ds000030,sub-10292,,rest,1
ds000030,sub-10299,,scap,1
ds000030,sub-10299,,bht,1
ds000030,sub-10299,,rest,1
ds000030,sub-10299,,stopsignal,1
ds000030,sub-10304,,taskswitch,1
ds000030,sub-10304,,bht,1
ds000030,sub-10304,,scap,1
ds000030,sub-10304,,stopsignal,1
ds000030,sub-10304,,rest,1
ds000030,sub-10304,,bart,1
ds000030,sub-10316,,rest,1
ds000030,sub-10316,,stopsignal,1
ds000030,sub-10316,,bht,1
ds000030,sub-10316,,scap,1
ds000030,sub-10316,,taskswitch,1
ds000030,sub-10316,,bart,1
ds000030,sub-10321,,bart,1
ds000030,sub-10321,,bht,1
ds000030,sub-10321,,rest,1
ds000030,sub-10321,,scap,1
ds000030,sub-10321,,stopsignal,1
ds000030,sub-10325,,bart,1
ds000030,sub-10325,,stopsignal,1
ds000030,sub-10325,,bht,1
ds000030,sub-10325,,scap,1
ds000030,sub-10325,,rest,1
ds000030,sub-10325,,taskswitch,1
ds000030,sub-10329,,rest,1
ds000030,sub-10329,,scap,1
ds000030,sub-10329,,taskswitch,1
ds000030,sub-10329,,stopsignal,1
ds000030,sub-10329,,bart,1
ds000030,sub-10329,,bht,1
ds000030,sub-10339,,stopsignal,1
ds000030,sub-10339,,bart,1
ds000030,sub-10339,,bht,1
ds000030,sub-10339,,taskswitch,1
ds000030,sub-10339,,rest,1
ds000030,sub-10339,,scap,1
ds000030,sub-10340,,taskswitch,1
ds000030,sub-10340,,rest,1
ds000030,sub-10340,,bht,1
ds000030,sub-10340,,stopsignal,1
ds000030,sub-10340,,scap,1
ds000030,sub-10340,,bart,1
ds000030,sub-10345,,taskswitch,1
ds000030,sub-10345,,stopsignal,1
ds000030,sub-10345,,bht,1
ds000030,sub-10345,,rest,1
ds000030,sub-10345,,scap,1
ds000030,sub-10347,,taskswitch,1
ds000030,sub-10347,,rest,1
ds000030,sub-10347,,stopsignal,1
ds000030,sub-10347,,bht,1
ds000030,sub-10347,,bart,1
ds000030,sub-10347,,scap,1
ds000030,sub-10356,,taskswitch,1
ds000030,sub-10356,,scap,1
ds000030,sub-10356,,stopsignal,1
ds000030,sub-10356,,bart,1
ds000030,sub-10356,,rest,1
ds000030,sub-10356,,bht,1
ds000030,sub-10361,,bht,1
ds000030,sub-10361,,stopsignal,1
ds000030,sub-10361,,taskswitch,1
ds000030,sub-10361,,rest,1
ds000030,sub-10361,,scap,1
ds000030,sub-10361,,bart,1
ds000030,sub-10365,,bht,1
ds000030,sub-10365,,stopsignal,1
ds000030,sub-10365,,scap,1
ds000030,sub-10365,,rest,1
ds000030,sub-10365,,bart,1
ds000030,sub-10365,,taskswitch,1
ds000030,sub-10376,,rest,1
ds000030,sub-10376,,stopsignal,1
ds000030,sub-10376,,bht,1
ds000030,sub-10376,,scap,1
ds000030,sub-10376,,taskswitch,1
ds000030,sub-10376,,bart,1
ds000030,sub-10377,,rest,1
ds000030,sub-10377,,bht,1
ds000030,sub-10377,,taskswitch,1
ds000030,sub-10377,,bart,1
ds000030,sub-10377,,scap,1
ds000030,sub-10377,,stopsignal,1
ds000030,sub-10388,,stopsignal,1
ds000030,sub-10388,,rest,1
ds000030,sub-10388,,bht,1
ds000030,sub-10388,,bart,1
ds000030,sub-10388,,scap,1
ds000030,sub-10388,,taskswitch,1
ds000030,sub-10428,,rest,1
ds000030,sub-10428,,taskswitch,1
ds000030,sub-10428,,bht,1
ds000030,sub-10428,,scap,1
ds000030,sub-10428,,stopsignal,1
ds000030,sub-10429,,bht,1
ds000030,sub-10429,,taskswitch,1
ds000030,sub-10429,,stopsignal,1
ds000030,sub-10429,,bart,1
ds000030,sub-10429,,rest,1
ds000030,sub-10429,,scap,1
ds000030,sub-10438,,bart,1
ds000030,sub-10438,,taskswitch,1
ds000030,sub-10438,,bht,1
ds000030,sub-10438,,rest,1
ds000030,sub-10438,,scap,1
ds000030,sub-10438,,stopsignal,1
ds000030,sub-10440,,taskswitch,1
ds000030,sub-10440,,stopsignal,1
ds000030,sub-10440,,scap,1
ds000030,sub-10440,,rest,1
ds000030,sub-10440,,bht,1
ds000030,sub-10440,,bart,1
ds000030,sub-10448,,bht,1
ds000030,sub-10448,,bart,1
ds000030,sub-10448,,taskswitch,1
ds000030,sub-10448,,stopsignal,1
ds000030,sub-10448,,scap,1
ds000030,sub-10448,,rest,1
ds000030,sub-10455,,taskswitch,1
ds000030,sub-10455,,scap,1
ds000030,sub-10455,,rest,1
ds000030,sub-10455,,stopsignal,1
ds000030,sub-10455,,bht,1
ds000030,sub-10455,,bart,1
ds000030,sub-10460,,stopsignal,1
ds000030,sub-10460,,bht,1
ds000030,sub-10460,,bart,1
ds000030,sub-10460,,scap,1
ds000030,sub-10460,,rest,1
ds000030,sub-10460,,taskswitch,1
ds000030,sub-10471,,scap,1
ds000030,sub-10471,,rest,1
ds000030,sub-10471,,bart,1
ds000030,sub-10471,,bht,1
ds000030,sub-10471,,taskswitch,1
ds000030,sub-10471,,stopsignal,1
ds000030,sub-10478,,rest,1
ds000030,sub-10478,,bart,1
ds000030,sub-10478,,taskswitch,1
ds000030,sub-10478,,bht,1
ds000030,sub-10478,,scap,1
ds000030,sub-10478,,stopsignal,1
ds000030,sub-10487,,bart,1
ds000030,sub-10487,,scap,1
ds000030,sub-10487,,bht,1
ds000030,sub-10487,,taskswitch,1
ds000030,sub-10487,,rest,1
ds000030,sub-10487,,stopsignal,1
ds000030,sub-10492,,taskswitch,1
ds000030,sub-10492,,bht,1
ds000030,sub-10492,,rest,1
ds000030,sub-10492,,scap,1
ds000030,sub-10492,,bart,1
ds000030,sub-10492,,stopsignal,1
ds000030,sub-10501,,rest,1
ds000030,sub-10501,,scap,1
ds000030,sub-10501,,stopsignal,1
ds000030,sub-10501,,bht,1
ds000030,sub-10501,,taskswitch,1
ds000030,sub-10506,,rest,1
ds000030,sub-10506,,scap,1
ds000030,sub-10506,,pamret,1
ds000030,sub-10506,,pamenc,1
ds000030,sub-10506,,taskswitch,1
ds000030,sub-10506,,stopsignal,1
ds000030,sub-10506,,bht,1
ds000030,sub-10506,,bart,1
ds000030,sub-10517,,bht,1
ds000030,sub-10517,,pamret,1
ds000030,sub-10517,,pamenc,1
